node1	label	node2
Q202107	P31	Q10864048
Q202107	label	Oromia Region
Q202107	P17	Q115
Q202107	P2006190001	Q202107
Q646859	P31	Q13220204
Q646859	label	Arsi Zone
Q646859	P17	Q115
Q646859	P2006190001	Q202107
Q646859	P2006190002	Q646859
Q4850656	P31	Q13221722
Q4850656	label	Bale Gasegar
Q4850656	P17	Q115
Q4850656	P2006190001	Q202107
Q4850656	P2006190002	Q646859
Q4850656	P2006190003	Q4850656
Q5275598	P31	Q13221722
Q5275598	label	Digeluna Tijo
Q5275598	P17	Q115
Q5275598	P2006190001	Q202107
Q5275598	P2006190002	Q646859
Q5275598	P2006190003	Q5275598
Q5276575	P31	Q13221722
Q5276575	label	Diksis
Q5276575	P17	Q115
Q5276575	P2006190001	Q202107
Q5276575	P2006190002	Q646859
Q5276575	P2006190003	Q5276575
Q5287998	P31	Q13221722
Q5287998	label	Dodota
Q5287998	P17	Q115
Q5287998	P2006190001	Q202107
Q5287998	P2006190002	Q646859
Q5287998	P2006190003	Q5287998
Q5379022	P31	Q13221722
Q5379022	label	Enkelo Wabe
Q5379022	P17	Q115
Q5379022	P2006190001	Q202107
Q5379022	P2006190002	Q646859
Q5379022	P2006190003	Q5379022
Q5618457	P31	Q13221722
Q5618457	label	Guna
Q5618457	P17	Q115
Q5618457	P2006190001	Q202107
Q5618457	P2006190002	Q646859
Q5618457	P2006190003	Q5618457
Q6549969	P31	Q13221722
Q6549969	label	Limuna Bilbilo
Q6549969	P17	Q115
Q6549969	P2006190001	Q202107
Q6549969	P2006190002	Q646859
Q6549969	P2006190003	Q6549969
Q6698715	P31	Q13221722
Q6698715	label	Lude Hitosa
Q6698715	P17	Q115
Q6698715	P2006190001	Q202107
Q6698715	P2006190002	Q646859
Q6698715	P2006190003	Q6698715
Q7530072	P31	Q13221722
Q7530072	label	Sire
Q7530072	P17	Q115
Q7530072	P2006190001	Q202107
Q7530072	P2006190002	Q646859
Q7530072	P2006190003	Q7530072
Q56461432	P31	Q13221722
Q56461432	label	Asella
Q56461432	P17	Q115
Q56461432	P2006190001	Q202107
Q56461432	P2006190002	Q646859
Q56461432	P2006190003	Q56461432
Q374201	P31	Q13221722
Q374201	label	Ziway Dugda
Q374201	P17	Q115
Q374201	P2006190001	Q202107
Q374201	P2006190002	Q646859
Q374201	P2006190003	Q374201
Q2843318	P31	Q13221722
Q2843318	label	Amigna
Q2843318	P17	Q115
Q2843318	P2006190001	Q202107
Q2843318	P2006190002	Q646859
Q2843318	P2006190003	Q2843318
Q2866446	P31	Q13221722
Q2866446	label	Aseko
Q2866446	P17	Q115
Q2866446	P2006190001	Q202107
Q2866446	P2006190002	Q646859
Q2866446	P2006190003	Q2866446
Q2964388	P31	Q13221722
Q2964388	label	Chole
Q2964388	P17	Q115
Q2964388	P2006190001	Q202107
Q2964388	P2006190002	Q646859
Q2964388	P2006190003	Q2964388
Q3110313	P31	Q13221722
Q3110313	label	Gololcha
Q3110313	P17	Q115
Q3110313	P2006190001	Q202107
Q3110313	P2006190002	Q646859
Q3110313	P2006190003	Q3110313
Q3138657	P31	Q13221722
Q3138657	label	Hitosa
Q3138657	P17	Q115
Q3138657	P2006190001	Q202107
Q3138657	P2006190002	Q646859
Q3138657	P2006190003	Q3138657
Q3176822	P31	Q13221722
Q3176822	label	Jeju
Q3176822	P17	Q115
Q3176822	P2006190001	Q202107
Q3176822	P2006190002	Q646859
Q3176822	P2006190003	Q3176822
Q3306658	P31	Q13221722
Q3306658	label	Merti
Q3306658	P17	Q115
Q3306658	P2006190001	Q202107
Q3306658	P2006190002	Q646859
Q3306658	P2006190003	Q3306658
Q3327847	P31	Q13221722
Q3327847	label	Munesa
Q3327847	P17	Q115
Q3327847	P2006190001	Q202107
Q3327847	P2006190002	Q646859
Q3327847	P2006190003	Q3327847
Q3434318	P31	Q13221722
Q3434318	label	Robe
Q3434318	P17	Q115
Q3434318	P2006190001	Q202107
Q3434318	P2006190002	Q646859
Q3434318	P2006190003	Q3434318
Q3479998	P31	Q13221722
Q3479998	label	Seru
Q3479998	P17	Q115
Q3479998	P2006190001	Q202107
Q3479998	P2006190002	Q646859
Q3479998	P2006190003	Q3479998
Q3481927	P31	Q13221722
Q3481927	label	Sherka
Q3481927	P17	Q115
Q3481927	P2006190001	Q202107
Q3481927	P2006190002	Q646859
Q3481927	P2006190003	Q3481927
Q3502932	P31	Q13221722
Q3502932	label	Sude
Q3502932	P17	Q115
Q3502932	P2006190001	Q202107
Q3502932	P2006190002	Q646859
