id	node1	label	node2	node2;kgtk:data_type	node2;kgtk:valid	node2;kgtk:list_len	node2;kgtk:number	node2;kgtk:low_tolerance	node2;kgtk:high_tolerance	node2;kgtk:si_units	node2;kgtk:units_node	node2;kgtk:text	node2;kgtk:language	node2;kgtk:language_suffix	node2;kgtk:latitude	node2;kgtk:longitude	node2;kgtk:date_and_time	node2;kgtk:precision	node2;kgtk:truth	node2;kgtk:symbol
fsi;fsi-2006..csv;E2	Q1049	PFSI-002	9.8QFSI-U002	quantity	True	0	9.8				QFSI-U002									
fsi;fsi-2006...csv;E2;B2	fsi;fsi-2006..csv;E2	P585	^2006-01-01T00:00:00/9	date_and_times	True	0											"2006-01-01T00:00:00"	9		
fsi;fsi-2006..csv;E2-P248-Q14818820-0000	fsi;fsi-2006..csv;E2	P248	Q14818820	symbol	True	0														Q14818820
fsi;fsi-2006..csv;E2-P2006020004-QFSI-0000	fsi;fsi-2006..csv;E2	P2006020004	QFSI	symbol	True	0														QFSI
fsi;fsi-2006..csv;E3	Q974	PFSI-002	9.8QFSI-U002	quantity	True	0	9.8				QFSI-U002									
fsi;fsi-2006...csv;E3;B3	fsi;fsi-2006..csv;E3	P585	^2006-01-01T00:00:00/9	date_and_times	True	0											"2006-01-01T00:00:00"	9		
fsi;fsi-2006..csv;E3-P248-Q14818820-0000	fsi;fsi-2006..csv;E3	P248	Q14818820	symbol	True	0														Q14818820
fsi;fsi-2006..csv;E3-P2006020004-QFSI-0000	fsi;fsi-2006..csv;E3	P2006020004	QFSI	symbol	True	0														QFSI
fsi;fsi-2006..csv;E4	Q851830	PFSI-002	9.8QFSI-U002	quantity	True	0	9.8				QFSI-U002									
fsi;fsi-2006...csv;E4;B4	fsi;fsi-2006..csv;E4	P585	^2006-01-01T00:00:00/9	date_and_times	True	0											"2006-01-01T00:00:00"	9		
fsi;fsi-2006..csv;E4-P248-Q14818820-0000	fsi;fsi-2006..csv;E4	P248	Q14818820	symbol	True	0														Q14818820
fsi;fsi-2006..csv;E4-P2006020004-QFSI-0000	fsi;fsi-2006..csv;E4	P2006020004	QFSI	symbol	True	0														QFSI
fsi;fsi-2006..csv;E5	Q796	PFSI-002	9.8QFSI-U002	quantity	True	0	9.8				QFSI-U002									
fsi;fsi-2006...csv;E5;B5	fsi;fsi-2006..csv;E5	P585	^2006-01-01T00:00:00/9	date_and_times	True	0											"2006-01-01T00:00:00"	9		
fsi;fsi-2006..csv;E5-P248-Q14818820-0000	fsi;fsi-2006..csv;E5	P248	Q14818820	symbol	True	0														Q14818820
fsi;fsi-2006..csv;E5-P2006020004-QFSI-0000	fsi;fsi-2006..csv;E5	P2006020004	QFSI	symbol	True	0														QFSI
fsi;fsi-2006..csv;E6	Q954	PFSI-002	9.4QFSI-U002	quantity	True	0	9.4				QFSI-U002									
fsi;fsi-2006...csv;E6;B6	fsi;fsi-2006..csv;E6	P585	^2006-01-01T00:00:00/9	date_and_times	True	0											"2006-01-01T00:00:00"	9		
fsi;fsi-2006..csv;E6-P248-Q14818820-0000	fsi;fsi-2006..csv;E6	P248	Q14818820	symbol	True	0														Q14818820
fsi;fsi-2006..csv;E6-P2006020004-QFSI-0000	fsi;fsi-2006..csv;E6	P2006020004	QFSI	symbol	True	0														QFSI
fsi;fsi-2006..csv;E7	Q657	PFSI-002	9.4QFSI-U002	quantity	True	0	9.4				QFSI-U002									
fsi;fsi-2006...csv;E7;B7	fsi;fsi-2006..csv;E7	P585	^2006-01-01T00:00:00/9	date_and_times	True	0											"2006-01-01T00:00:00"	9		
